variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
yssmp_i1,"YSSM (parent version), question 1","On a typical WEEKDAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?",s1_r1_e1,Time,"[0:00,23:59]",hh:mm,NA,1,NA,direct-redcap
yssmp_i2,"YSSM (parent version), question 2","On a typical WEEKEND DAY, how much TIME does your child spend on a computer, cellphone, tablet, or other electronic device?",s1_r1_e1,Time,"[0:00,23:59]",hh:mm,NA,1,NA,direct-redcap
yssmp_i3,"YSSM (parent version), question 3",What types of SCREEN MEDIA does your child use the most (not including screen media used for school or homework)?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Television | 2, Video games | 3, Cell phone | 4, Tablet | 5, Handheld video game device | 6, Computer/laptop | 7, Other",NA,1,NA,direct-redcap
yssmp_i3oth,"YSSM (parent version), detail for ""other"" on question 3","If other, please specify:",s1_r1_e1,Char,NA,NA,NA,1,NA,direct-redcap
yssmp_i4,"YSSM (parent version), question 4",Are you following or friends with your child on any social media sites (e.g. Facebook Instagram Snapchat)?,s1_r1_e1,Logical,"0, 1","1, Yes | 0, No",NA,1,NA,direct-redcap
yssmp_i5,"YSSM (parent version), question 5",Do you suspect that your child has social media accounts that you are unaware of?,s1_r1_e1,Logical,"0, 1","1, Yes | 0, No",NA,1,NA,direct-redcap
yssmp_i6,"YSSM (parent version), question 6",My child sneaks using screen media.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Never | 2, Rarely | 3, Sometimes | 4, Very often | 5, Always",NA,1,NA,direct-redcap
yssmp_i7,"YSSM (parent version), question 7",Screen media is all that my child seems to think about.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Never | 2, Rarely | 3, Sometimes | 4, Very often | 5, Always",NA,1,NA,direct-redcap
yssmp_i8,"YSSM (parent version), question 8",It is hard for my child to stop using screen media.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Never | 2, Rarely | 3, Sometimes | 4, Very often | 5, Always",NA,1,NA,direct-redcap
yssmp_i9,"YSSM (parent version), question 9","When my child has had a bad day, screen media seems to be the only thing that helps him/her feel better.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Never | 2, Rarely | 3, Sometimes | 4, Very often | 5, Always",NA,1,NA,direct-redcap
yssmp_i10,"YSSM (parent version), question 10",My child's screen media use causes problems for the family.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Never | 2, Rarely | 3, Sometimes | 4, Very often | 5, Always",NA,1,NA,direct-redcap
yssmp_i11,"YSSM (parent version), question 11",The amount of time my child wants to use screen media keeps increasing.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Never | 2, Rarely | 3, Sometimes | 4, Very often | 5, Always",NA,1,NA,direct-redcap
yssmp_i12,"YSSM (parent version), question 12",Screen media is the only thing that seems to motivate my child.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Never | 2, Rarely | 3, Sometimes | 4, Very often | 5, Always",NA,1,NA,direct-redcap
yssmp_i13,"YSSM (parent version), question 13",My child becomes frustrated when he/she cannot use screen media.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Never | 2, Rarely | 3, Sometimes | 4, Very often | 5, Always",NA,1,NA,direct-redcap
yssmp_i14,"YSSM (parent version), question 14",My child's screen media use interferes with family activities.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Never | 2, Rarely | 3, Sometimes | 4, Very often | 5, Always",NA,1,NA,direct-redcap
